"구분","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","평균"
"관찰지역수","17","24","31","31","23","23","24.83"
"합계","154,525","273,413","236,423","173,976","167,710","139,916","190,993.83"
"들꿩","0","0","0","0","0","0","0.00"
"멧닭","0","0","0","0","0","0","0.00"
"메추라기","0","1","0","0","0","0","0.17"
"꿩","43","83","76","70","53","74","66.50"
"개리","0","8","4","9","46","81","24.67"
"큰기러기","49,598","84,337","30,689","13,692","14,418","2,514","32,541.33"
"회색기러기","0","0","0","0","0","0","0.00"
"쇠기러기","18,002","43,562","33,985","36,998","36,299","10,262","29,851.33"
"흰이마기러기","0","0","0","0","0","13","2.17"
"줄기러기","0","1","0","0","0","0","0.17"
"흰머리기러기","0","0","0","0","0","0","0.00"
"흰기러기","1","1","1","2","0","0","0.83"
"붉은가슴기러기","0","0","0","0","0","0","0.00"
"캐나다기러기","0","0","0","1","0","0","0.17"
"흑기러기","0","0","0","0","0","1","0.17"
"흰얼굴기러기","0","0","0","0","0","0","0.00"
"혹고니","0","22","24","29","15","0","15.00"
"고니","0","0","2","0","0","0","0.33"
"큰고니","13","968","1,452","2,119","1,917","30","1,083.17"
"혹부리오리","2","155","8,363","4,070","439","315","2,224.00"
"황오리","138","1,274","1,246","885","371","307","703.50"
"원앙사촌","0","0","0","0","0","0","0.00"
"원앙","94","54","45","260","105","204","127.00"
"알락오리","417","5,356","2,456","947","1,252","1,146","1,929.00"
"청머리오리","16,647","6,165","877","341","375","832","4,206.17"
"홍머리오리","8,343","7,452","1,318","584","517","516","3,121.67"
"아메리카홍머리오리","0","0","0","0","0","0","0.00"
"미국오리","0","0","0","0","0","0","0.00"
"청둥오리","2,215","17,741","41,720","27,758","26,576","10,765","21,129.17"
"흰뺨검둥오리","8,830","17,412","22,599","13,840","11,745","10,262","14,114.67"
"넓적부리","99","4,512","3,593","230","431","2,467","1,888.67"
"고방오리","212","558","3,517","1,182","334","156","993.17"
"발구지","0","0","0","0","0","3","0.50"
"가창오리","6","9","76","3","4,979","1,563","1,106.00"
"쇠오리","365","2,671","4,195","1,490","2,356","2,275","2,225.33"
"미국쇠오리","0","0","0","0","0","0","0.00"
"붉은부리흰죽지","0","0","0","0","0","0","0.00"
"큰흰죽지","0","0","0","0","0","0","0.00"
"미국흰죽지","0","0","0","0","0","0","0.00"
"흰죽지","1,265","4,807","9,025","3,360","7,021","16,875","7,058.83"
"붉은가슴흰죽지","0","0","0","0","0","0","0.00"
"적갈색흰죽지","0","0","0","0","0","0","0.00"
"북미댕기흰죽지","0","0","0","0","0","0","0.00"
"댕기흰죽지","26","1,740","4,845","4,839","3,983","3,594","3,171.17"
"검은머리흰죽지","2","202","628","156","22","399","234.83"
"쇠검은머리흰죽지","0","0","0","0","0","0","0.00"
"호사북방오리","0","0","0","0","0","0","0.00"
"흰줄박이오리","0","0","0","0","0","0","0.00"
"검둥오리사촌","0","0","0","0","0","0","0.00"
"검둥오리","0","0","0","0","0","0","0.00"
"바다꿩","0","0","0","0","0","0","0.00"
"꼬마오리","0","0","0","0","0","0","0.00"
"흰뺨오리","5","80","964","1,251","1,346","104","625.00"
"북방흰뺨오리","0","0","0","0","0","0","0.00"
"흰비오리","0","87","391","96","101","50","120.83"
"비오리","4","774","1,981","2,015","1,172","476","1,070.33"
"바다비오리","0","42","169","65","21","73","61.67"
"호사비오리","16","40","24","32","18","17","24.50"
"아비","0","0","0","0","0","0","0.00"
"큰회색머리아비","0","0","0","0","0","0","0.00"
"회색머리아비","0","0","0","0","0","0","0.00"
"흰부리아비","0","0","0","0","0","0","0.00"
"레이산알바트로스","0","0","0","0","0","0","0.00"
"알바트로스","0","0","0","0","0","0","0.00"
"흰배슴새","0","0","0","0","0","0","0.00"
"슴새","0","0","0","0","0","0","0.00"
"쇠부리슴새","0","0","0","0","0","0","0.00"
"붉은발슴새","0","0","0","0","0","0","0.00"
"검은슴새","0","0","0","0","0","0","0.00"
"바다제비","0","0","0","0","0","0","0.00"
"논병아리","342","598","620","360","138","159","369.50"
"큰논병아리","0","0","0","0","0","0","0.00"
"뿔논병아리","434","993","1,370","166","374","1,154","748.50"
"귀뿔논병아리","0","0","0","0","0","0","0.00"
"검은목논병아리","457","695","404","0","0","165","286.83"
"큰홍학","0","0","0","0","0","0","0.00"
"먹황새","0","1","0","0","0","0","0.17"
"황새","0","5","4","8","22","7","7.67"
"검은머리흰따오기","0","0","0","0","0","0","0.00"
"따오기","0","0","0","0","0","0","0.00"
"적갈색따오기","0","0","0","0","0","0","0.00"
"노랑부리저어새","11","119","126","23","10","53","57.00"
"저어새","61","12","4","0","0","6","13.83"
"알락해오라기","0","0","0","5","1","0","1.00"
"덤불해오라기","0","0","0","0","0","0","0.00"
"큰덤불해오라기","0","0","0","0","0","0","0.00"
"열대붉은해오라기","0","0","0","0","0","0","0.00"
"검은해오라기","0","0","0","0","0","0","0.00"
"붉은해오라기","0","0","0","0","0","0","0.00"
"푸른눈테해오라기","0","0","0","0","0","0","0.00"
"해오라기","4","14","37","1","0","0","9.33"
"검은댕기해오라기","0","0","0","0","0","0","0.00"
"흰날개해오라기","0","0","0","0","0","0","0.00"
"황로","2","0","0","0","0","0","0.33"
"왜가리","441","499","646","329","588","572","512.50"
"붉은왜가리","0","0","0","0","0","0","0.00"
"중대백로","495","644","780","282","370","484","509.17"
"중백로","1","2","0","0","0","0","0.50"
"쇠백로","155","93","145","26","21","28","78.00"
"흑로","0","0","0","0","0","0","0.00"
"노랑부리백로","2","0","0","0","0","0","0.33"
"큰군함조","0","0","0","0","0","0","0.00"
"군함조","0","0","0","0","0","0","0.00"
"큰사다새","0","0","0","0","0","0","0.00"
"사다새","0","0","0","0","0","0","0.00"
"푸른얼굴얼가니새","0","0","0","0","0","0","0.00"
"붉은발얼가니새","0","0","0","0","0","0","0.00"
"갈색얼가니새","0","0","0","0","0","0","0.00"
"민물가마우지","2,080","2,361","1,960","1,445","2,041","3,701","2,264.67"
"가마우지","0","0","2","2","0","0","0.67"
"쇠가마우지","0","0","0","0","0","0","0.00"
"붉은뺨가마우지","0","0","0","0","0","0","0.00"
"황조롱이","35","58","63","47","39","45","47.83"
"비둘기조롱이","12","0","0","0","0","0","2.00"
"쇠황조롱이","1","4","4","2","0","0","1.83"
"새호리기","2","0","0","0","0","0","0.33"
"헨다손매","0","0","0","0","0","0","0.00"
"흰매","0","0","0","0","0","0","0.00"
"매","2","2","6","9","1","0","3.33"
"물수리","8","0","0","0","1","1","1.67"
"검은댕기수리","0","0","0","0","0","0","0.00"
"검은어깨매","0","0","0","0","0","0","0.00"
"벌매","0","0","0","0","0","0","0.00"
"솔개","0","0","0","0","0","0","0.00"
"흰꼬리수리","0","14","53","97","52","11","37.83"
"참수리","0","0","3","3","2","0","1.33"
"수염수리","0","0","0","0","0","0","0.00"
"고산대머리수리","0","0","0","0","0","0","0.00"
"독수리","0","9","28","170","221","197","104.17"
"관수리","0","0","0","0","0","0","0.00"
"개구리매","0","0","0","0","0","0","0.00"
"잿빛개구리매","0","9","7","14","13","5","8.00"
"알락개구리매","0","0","0","0","0","0","0.00"
"붉은배새매","0","0","0","0","0","0","0.00"
"조롱이","0","0","0","0","0","0","0.00"
"작은새매","0","0","0","0","0","0","0.00"
"새매","0","7","8","4","1","1","3.50"
"참매","3","8","9","11","2","4","6.17"
"왕새매","0","0","0","0","0","1","0.17"
"말똥가리","20","55","89","101","86","40","65.17"
"큰말똥가리","0","0","1","8","9","3","3.50"
"털발말똥가리","0","0","1","2","0","0","0.50"
"항라머리검독수리","0","0","0","0","0","0","0.00"
"초원수리","0","0","0","0","0","0","0.00"
"흰죽지수리","0","0","0","0","0","1","0.17"
"검독수리","0","0","0","1","0","0","0.17"
"흰배줄무늬수리","0","0","0","0","0","0","0.00"
"흰점어깨수리","0","0","0","0","0","0","0.00"
"뿔매","0","0","0","0","0","0","0.00"
