"구분","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","평균"
"관찰지역수","29","0","0","0","0","0","4.83"
"합계","155,329","0","0","0","0","0","25,888.17"
"들꿩","0","0","0","0","0","0","0.00"
"멧닭","0","0","0","0","0","0","0.00"
"메추라기","0","0","0","0","0","0","0.00"
"꿩","0","0","0","0","0","0","0.00"
"개리","2","0","0","0","0","0","0.33"
"큰기러기","44,149","0","0","0","0","0","7,358.17"
"회색기러기","0","0","0","0","0","0","0.00"
"쇠기러기","26,155","0","0","0","0","0","4,359.17"
"흰이마기러기","0","0","0","0","0","0","0.00"
"줄기러기","0","0","0","0","0","0","0.00"
"흰머리기러기","0","0","0","0","0","0","0.00"
"흰기러기","1","0","0","0","0","0","0.17"
"붉은가슴기러기","0","0","0","0","0","0","0.00"
"캐나다기러기","0","0","0","0","0","0","0.00"
"흑기러기","0","0","0","0","0","0","0.00"
"흰얼굴기러기","0","0","0","0","0","0","0.00"
"혹고니","0","0","0","0","0","0","0.00"
"고니","0","0","0","0","0","0","0.00"
"큰고니","1","0","0","0","0","0","0.17"
"혹부리오리","1,046","0","0","0","0","0","174.33"
"황오리","19","0","0","0","0","0","3.17"
"원앙사촌","0","0","0","0","0","0","0.00"
"원앙","478","0","0","0","0","0","79.67"
"알락오리","157","0","0","0","0","0","26.17"
"청머리오리","7,096","0","0","0","0","0","1,182.67"
"홍머리오리","1,032","0","0","0","0","0","172.00"
"아메리카홍머리오리","0","0","0","0","0","0","0.00"
"미국오리","0","0","0","0","0","0","0.00"
"청둥오리","2,891","0","0","0","0","0","481.83"
"흰뺨검둥오리","16,127","0","0","0","0","0","2,687.83"
"넓적부리","144","0","0","0","0","0","24.00"
"고방오리","46","0","0","0","0","0","7.67"
"발구지","0","0","0","0","0","0","0.00"
"가창오리","0","0","0","0","0","0","0.00"
"쇠오리","597","0","0","0","0","0","99.50"
"미국쇠오리","0","0","0","0","0","0","0.00"
"붉은부리흰죽지","0","0","0","0","0","0","0.00"
"큰흰죽지","0","0","0","0","0","0","0.00"
"미국흰죽지","0","0","0","0","0","0","0.00"
"흰죽지","2,034","0","0","0","0","0","339.00"
"붉은가슴흰죽지","0","0","0","0","0","0","0.00"
"적갈색흰죽지","0","0","0","0","0","0","0.00"
"북미댕기흰죽지","0","0","0","0","0","0","0.00"
"댕기흰죽지","419","0","0","0","0","0","69.83"
"검은머리흰죽지","499","0","0","0","0","0","83.17"
"쇠검은머리흰죽지","0","0","0","0","0","0","0.00"
