"구분","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","평균"
"관찰지역수","24","31","31","31","31","24","28.67"
"합계","195,697","235,931","226,102","174,697","242,320","164,221","206,494.67"
"들꿩","0","0","0","0","0","1","0.17"
"멧닭","0","0","0","0","0","0","0.00"
"메추라기","0","0","0","0","1","0","0.17"
"꿩","34","60","55","61","56","109","62.50"
"개리","0","0","5","0","4","121","21.67"
"큰기러기","45,698","45,525","45,999","15,624","16,455","11,437","30,123.00"
"회색기러기","0","0","0","0","1","0","0.17"
"쇠기러기","19,640","18,875","20,386","28,649","27,398","20,278","22,537.67"
"흰이마기러기","0","0","0","0","0","26","4.33"
"줄기러기","0","0","0","0","0","0","0.00"
"흰머리기러기","0","0","0","0","0","0","0.00"
"흰기러기","1","0","0","2","2","1","1.00"
"붉은가슴기러기","0","0","0","0","0","0","0.00"
"캐나다기러기","0","0","0","1","0","0","0.17"
"흑기러기","0","0","0","0","0","0","0.00"
"흰얼굴기러기","0","0","0","0","0","0","0.00"
"혹고니","0","12","27","12","29","5","14.17"
"고니","0","2","2","0","1","0","0.83"
"큰고니","17","2,175","1,653","1,982","2,793","44","1,444.00"
"혹부리오리","0","4,700","7,910","4,570","6,990","221","4,065.17"
"황오리","35","558","417","313","291","83","282.83"
"원앙사촌","0","0","0","0","0","0","0.00"
"원앙","304","165","187","311","603","175","290.83"
"알락오리","969","6,094","2,265","1,151","920","1,684","2,180.50"
"청머리오리","17,587","5,774","373","423","289","6,226","5,112.00"
"홍머리오리","10,675","5,820","828","380","418","1,725","3,307.67"
"아메리카홍머리오리","0","0","0","0","0","0","0.00"
"미국오리","0","0","0","0","0","0","0.00"
"청둥오리","2,548","26,377","41,526","25,230","21,613","16,267","22,260.17"
"흰뺨검둥오리","16,125","21,733","24,293","19,000","15,961","11,491","18,100.50"
"넓적부리","146","4,463","1,457","197","1,044","2,049","1,559.33"
"고방오리","122","626","479","671","467","356","453.50"
"발구지","0","0","0","0","0","0","0.00"
"가창오리","27","43","8","519","52,242","148","8,831.17"
"쇠오리","3,361","2,483","2,780","1,981","2,749","3,830","2,864.00"
"미국쇠오리","0","0","0","0","0","0","0.00"
"붉은부리흰죽지","0","1","0","0","1","0","0.33"
"큰흰죽지","0","0","0","0","0","0","0.00"
"미국흰죽지","0","0","0","0","0","0","0.00"
"흰죽지","7,819","7,342","9,719","7,041","11,051","3,413","7,730.83"
"붉은가슴흰죽지","0","0","0","0","0","0","0.00"
"적갈색흰죽지","2","0","0","0","0","0","0.33"
