"구분","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","평균"
"관찰지역수","16","16","29","29","16","17","20.50"
"합계","106,664","150,165","189,737","173,611","88,653","92,385","133,535.83"
"들꿩","2","0","1","0","0","0","0.50"
"멧닭","0","0","0","0","0","0","0.00"
"메추라기","0","0","0","0","0","0","0.00"
"꿩","39","31","55","51","28","43","41.17"
"개리","0","32","4","4","0","210","41.67"
"큰기러기","24,971","20,741","29,699","25,090","12,861","5,017","19,729.83"
"회색기러기","0","0","0","0","0","0","0.00"
"쇠기러기","5,655","26,950","33,071","29,215","13,019","8,642","19,425.33"
"흰이마기러기","0","0","0","0","0","0","0.00"
"줄기러기","0","0","0","0","0","0","0.00"
"흰머리기러기","0","0","0","0","0","0","0.00"
"흰기러기","0","1","1","1","0","0","0.50"
"붉은가슴기러기","0","0","0","0","0","0","0.00"
"캐나다기러기","0","0","0","0","0","0","0.00"
"흑기러기","0","0","0","0","0","0","0.00"
"흰얼굴기러기","0","0","0","0","0","0","0.00"
"혹고니","0","2","10","15","12","0","6.50"
"고니","0","4","0","0","0","0","0.67"
"큰고니","4","722","1,440","1,548","1,406","72","865.33"
"혹부리오리","7","90","2,154","2,019","28","662","826.67"
"황오리","366","1,287","1,838","1,340","1,369","1,085","1,214.17"
"원앙사촌","0","0","0","0","0","0","0.00"
"원앙","121","58","53","87","39","165","87.17"
"알락오리","167","4,442","1,250","812","472","1,810","1,492.17"
"청머리오리","21,327","207","249","100","571","1,164","3,936.33"
"홍머리오리","2,311","602","138","118","31","159","559.83"
"아메리카홍머리오리","0","0","0","0","0","0","0.00"
"미국오리","0","0","0","0","0","0","0.00"
"청둥오리","2,186","31,409","41,479","35,630","17,602","13,201","23,584.50"
"흰뺨검둥오리","10,015","13,854","20,595","21,325","9,204","6,451","13,574.00"
"넓적부리","141","1,185","1,187","381","1,781","2,117","1,132.00"
"고방오리","244","123","1,157","2,539","80","140","713.83"
"발구지","0","0","0","0","0","0","0.00"
"가창오리","0","3,809","2","30","2","442","714.17"
"쇠오리","680","2,295","2,105","1,898","2,088","1,746","1,802.00"
"미국쇠오리","0","0","0","0","0","0","0.00"
"붉은부리흰죽지","0","0","0","0","0","0","0.00"
"큰흰죽지","0","0","0","0","0","0","0.00"
"미국흰죽지","0","0","0","0","0","0","0.00"
"흰죽지","2,042","4,215","3,252","4,463","5,485","2,633","3,681.67"
"붉은가슴흰죽지","3","0","0","0","0","0","0.50"
"적갈색흰죽지","0","0","0","0","0","0","0.00"
"북미댕기흰죽지","0","0","0","0","0","0","0.00"
"댕기흰죽지","297","543","1,797","2,345","1,327","1,853","1,360.33"
"검은머리흰죽지","71","92","86","83","158","314","134.00"
"쇠검은머리흰죽지","0","0","0","0","0","0","0.00"
"호사북방오리","0","0","0","0","0","0","0.00"
"흰줄박이오리","0","0","0","0","0","0","0.00"
"검둥오리사촌","0","0","0","0","0","0","0.00"
"검둥오리","0","0","0","0","0","0","0.00"
"바다꿩","0","0","0","0","0","0","0.00"
"꼬마오리","0","0","0","0","0","0","0.00"
"흰뺨오리","0","116","1,123","1,783","1,166","832","836.67"
"북방흰뺨오리","0","0","0","0","0","0","0.00"
"흰비오리","0","165","249","224","185","78","150.17"
"비오리","3","486","2,202","2,175","1,183","872","1,153.50"
"바다비오리","0","99","49","56","11","199","69.00"
"호사비오리","6","86","96","52","5","55","50.00"
"아비","0","0","0","0","0","0","0.00"
"큰회색머리아비","0","0","0","0","0","0","0.00"
"회색머리아비","0","0","0","0","0","0","0.00"
"흰부리아비","0","0","0","0","0","0","0.00"
"레이산알바트로스","0","0","0","0","0","0","0.00"
"알바트로스","0","0","0","0","0","0","0.00"
"흰배슴새","0","0","0","0","0","0","0.00"
"슴새","0","0","0","0","0","0","0.00"
"쇠부리슴새","0","0","0","0","0","0","0.00"
"붉은발슴새","0","0","0","0","0","0","0.00"
"검은슴새","0","0","0","0","0","0","0.00"
"바다제비","0","0","0","0","0","0","0.00"
"논병아리","380","319","617","300","122","91","304.83"
"큰논병아리","0","0","0","0","0","0","0.00"
"뿔논병아리","540","1,475","687","197","191","621","618.50"
"귀뿔논병아리","0","0","0","0","0","0","0.00"
"검은목논병아리","325","590","44","0","6","109","179.00"
"큰홍학","0","0","0","0","0","0","0.00"
"먹황새","0","0","0","0","0","0","0.00"
"황새","0","0","0","0","0","0","0.00"
"검은머리흰따오기","0","0","0","0","0","0","0.00"
"따오기","0","0","0","0","0","0","0.00"
"적갈색따오기","0","0","0","0","0","0","0.00"
"노랑부리저어새","19","59","56","30","31","99","49.00"
"저어새","165","1","0","0","0","18","30.67"
"알락해오라기","0","0","2","0","0","0","0.33"
"덤불해오라기","0","0","0","0","0","0","0.00"
"큰덤불해오라기","0","0","0","0","0","0","0.00"
"열대붉은해오라기","0","0","0","0","0","0","0.00"
"검은해오라기","0","0","0","0","0","0","0.00"
"붉은해오라기","0","0","0","0","0","0","0.00"
"푸른눈테해오라기","0","0","0","0","0","0","0.00"
"해오라기","3","0","0","0","1","0","0.67"
"검은댕기해오라기","1","0","0","0","0","0","0.17"
"흰날개해오라기","0","0","0","0","0","0","0.00"
"황로","0","0","0","0","0","0","0.00"
"왜가리","386","359","558","477","268","549","432.83"
"붉은왜가리","0","0","0","0","0","0","0.00"
"중대백로","417","239","669","713","283","329","441.67"
