"구분","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","평균"
"알락꼬리마도요","2","4","2","0","0","0","1.33"
"학도요","0","0","0","0","0","46","7.67"
"붉은발도요","0","0","0","0","0","0","0.00"
"쇠청다리도요","0","0","0","0","0","0","0.00"
"청다리도요","22","0","37","0","0","0","9.83"
"청다리도요사촌","0","0","0","0","0","0","0.00"
"큰노랑발도요","0","0","0","0","0","0","0.00"
"삑삑도요","18","13","16","27","13","9","16.00"
"알락도요","0","0","0","0","0","0","0.00"
"뒷부리도요","11","0","0","0","0","0","1.83"
"깝작도요","16","6","0","2","17","21","10.33"
"노랑발도요","0","0","0","0","0","0","0.00"
"꼬까도요","0","0","0","0","0","0","0.00"
"붉은어깨도요","0","0","0","0","0","0","0.00"
"붉은가슴도요","0","0","0","0","0","0","0.00"
"세가락도요","0","0","0","0","0","0","0.00"
"좀도요","0","0","460","0","0","0","76.67"
"작은도요","0","0","0","0","0","0","0.00"
"흰꼬리좀도요","0","0","0","0","0","0","0.00"
"종달도요","0","0","0","0","0","0","0.00"
"아메리카메추라기도요","0","0","0","0","0","0","0.00"
"메추라기도요","0","0","0","0","0","0","0.00"
"붉은갯도요","0","0","0","0","0","0","0.00"
"민물도요","0","401","3,052","3,134","758","135","1,246.67"
"넓적부리도요","0","0","0","0","0","0","0.00"
"송곳부리도요","0","0","0","0","0","0","0.00"
"누른도요","0","0","0","0","0","0","0.00"
"목도리도요","0","0","0","0","0","0","0.00"
"큰지느러미발도요","0","0","0","0","0","0","0.00"
"지느러미발도요","0","0","0","0","0","0","0.00"
"붉은배지느러미발도요","0","0","0","0","0","0","0.00"
"제비물떼새","0","0","0","0","0","0","0.00"
"괭이갈매기","1,860","6,722","2,776","982","8,941","11,896","5,529.50"
"갈매기","0","0","11","18","7","0","6.00"
"수리갈매기","0","0","0","0","0","0","0.00"
"흰갈매기","0","0","0","0","0","0","0.00"
"작은흰갈매기","0","0","0","0","0","0","0.00"
"작은재갈매기","0","0","0","0","0","0","0.00"
"재갈매기","112","183","1,342","637","1,158","8,505","1,989.50"
"옅은재갈매기","0","0","0","0","0","0","0.00"
"한국재갈매기","97","74","23","178","102","557","171.83"
"줄무늬노랑발갈매기","0","4","0","0","0","0","0.67"
"큰재갈매기","0","0","0","1","0","0","0.17"
"큰검은머리갈매기","0","0","0","0","0","0","0.00"
"붉은부리갈매기","184","457","697","1,046","184","1,003","595.17"
"긴목갈매기","0","0","0","0","0","0","0.00"
"검은머리갈매기","0","6","61","0","0","118","30.83"
"고대갈매기","0","0","0","0","0","0","0.00"
"꼬마갈매기","0","0","0","0","0","0","0.00"
"북극흰갈매기","0","0","0","0","0","0","0.00"
"목테갈매기","0","0","0","0","0","0","0.00"
"세가락갈매기","0","0","0","0","0","0","0.00"
"큰부리제비갈매기","0","0","0","0","0","0","0.00"
"붉은부리큰제비갈매기","0","0","0","0","0","0","0.00"
"큰제비갈매기","0","0","0","0","0","0","0.00"
"뿔제비갈매기","0","0","0","0","0","0","0.00"
