시군별,연도별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
홍천군,2014,5,13,9.3,33.1,45.5,58.2,182.8,164.1,103.6,54.3,23.6,11
횡성군,2014,15.4,32.2,17.6,47.6,35.2,40.1,117.8,258.2,79.7,116.8,21.5,19
영월군,2014,10,14.8,31.1,36.5,34.3,76.8,86.5,258.5,152.9,136.7,23.7,14.7
평창군,2014,35,96.7,45,142.7,29.3,88.6,146.8,350.7,139,182.3,41.4,11.7
정선군,2014,0,0,0,0,0,0,0,0,0,0,0,0
철원군,2014,12.7,18,7.1,14,81.6,75.6,186.7,105,73,55.4,42.2,13.1
화천군,2014,12.7,18,7.1,14,81.6,75.6,186.7,105,73,55.4,42.2,13.1
양구군,2014,0,0,0,0,0,0,0,0,0,0,0,0
인제군,2014,9.5,18,15.8,35,49,63.3,106.9,177.1,132.5,64.1,23.9,10.1
고성군,2014,29.3,168.2,40.4,98.8,25,41.9,126.9,296.1,181,39.6,51.6,0.2
양양군,2014,29.3,168.2,40.4,98.8,25,41.9,126.9,296.1,181,39.6,51.6,0.2
춘천시,2015,18.2,27.3,13.5,106.7,34.7,46.8,233.6,46.8,4.8,61,142.1,22.3
원주시,2015,16.8,16.8,23,106.6,32,177,196.3,101.5,36.6,56,111.4,29.8
강릉시,2015,22.8,17.6,20.5,67.7,3.6,170.3,60.8,177,52.6,23.2,394.5,6.9
동해시,2015,24.1,8.9,21.6,61.3,2.9,143.7,80.3,150.1,133,20,259,6.3
태백시,2015,15.8,9.1,23.6,69.3,29,135.2,167.6,168.5,39.1,48.5,159.2,17.9
속초시,2015,8.7,32.1,8,74.2,9.2,127.7,163.1,198.6,13.5,27.4,463.5,1.7
삼척시,2015,17,7.5,19,58.5,0.5,143,98,180,163,25,294.5,4.5
홍천군,2015,7.6,12,11,97,31,51.7,198.6,114.6,42.5,41.1,116.8,16.1
횡성군,2015,16.8,16.8,23,106.6,32,177,196.3,101.5,36.6,56,111.4,29.8
영월군,2015,13.3,16.5,24.9,60.7,19.2,78.5,206.5,67.3,20.3,53.9,88,26.9
평창군,2015,21.4,19.9,21.5,62.7,13,88.2,135.6,308.2,65.7,35.5,194.7,15.5
정선군,2015,14.8,16,25.7,74.4,29.4,72.2,145.1,123.7,17.8,45,134,26.5
철원군,2015,17,24,7.8,98.3,35.8,79.6,458,140.6,32.7,64,111.5,25.6
화천군,2015,17,24,7.8,98.3,35.8,79.6,458,140.6,32.7,64,111.5,25.6
양구군,2015,10.5,24.5,11.5,85,35.5,67,269.5,73.5,15,71,147,24
인제군,2015,10.6,18.2,12.1,80.5,23.7,43.9,236.2,118.8,27.5,52.5,113.1,18.6
고성군,2015,8.7,32.1,8,74.2,9.2,127.7,163.1,198.6,13.5,27.4,463.5,1.7
양양군,2015,8.7,32.1,8,74.2,9.2,127.7,163.1,198.6,13.5,27.4,463.5,1.7
춘천시,2016,4,54.8,49.6,98,109.1,93.2,617.1,33.2,76.2,108.2,14.9,79.1
원주시,2016,1.6,45.8,36.5,71.5,87.4,35.8,360.1,49.4,47.1,81.4,24.3,33.7
강릉시,2016,24.7,45.7,29.6,70.4,34.1,64.4,377.1,259.4,93.8,82.2,32.6,90.2
동해시,2016,12.4,55,27.7,60.8,24.8,22.9,307.5,137,105.6,76.3,44.3,50.2
태백시,2016,8.9,28.9,35.2,116.6,60,41.8,439.2,106.1,149.2,82.9,10.2,62.4
속초시,2016,6.6,38.3,31.8,77.5,35.7,62.2,477.8,186.9,126,128.5,40.8,121.7
삼척시,2016,14,44,30.5,55,24.5,31,319,203,101.5,49.5,20,70.5
홍천군,2016,1,35.4,39.7,76,98.6,54.5,429.4,38.5,61.4,69.6,9.9,54.8
횡성군,2016,1.6,45.8,36.5,71.5,87.4,35.8,360.1,49.4,47.1,81.4,24.3,33.7
영월군,2016,3.4,54.5,211.1,83.4,51.6,46.4,360.6,107.5,45.7,95.3,19.8,51.1
평창군,2016,2.6,39,18.4,84.5,46.8,64.3,421.3,260.4,102.1,78.3,13.3,53
정선군,2016,1,66,30.6,93.5,61.6,52.7,457.8,121,106.8,102.3,12.5,68.4
철원군,2016,9,54.1,45.2,88.8,149.9,27.1,460.5,63.7,32.2,173.1,15.6,69.8
화천군,2016,9,54.1,45.2,88.8,149.9,27.1,460.5,63.7,32.2,173.1,15.6,69.8
양구군,2016,0,49.5,46,107.5,108.5,51,461,81,62.5,92,18,69.5
인제군,2016,3,41.3,41.3,93.2,88.3,51.8,546.5,96,46.3,107.1,16,57.6
고성군,2016,6.6,38.3,31.8,77.5,35.7,62.2,477.8,186.9,126,128.5,40.8,121.7
양양군,2016,6.6,38.3,31.8,77.5,35.7,62.2,477.8,186.9,126,128.5,40.8,121.7
춘천시,2017,15.1,13,15.9,56.5,22,88.9,530.4,343.1,32.2,50,23.1,27
원주시,2017,16.2,17.5,22.7,38.1,30.1,73.7,505.6,273.6,16,15.9,35.2,19
강릉시,2017,48.5,3.5,48.5,39.8,25,27.2,238.1,444.1,45.7,114.5,41.5,5.5
동해시,2017,34.9,5.7,40.8,45.1,17.9,61.7,178.9,402.4,38.3,124.8,31.2,4
태백시,2017,6.7,12.7,10.2,73.5,14.4,122.1,313.6,254.2,65.7,41.1,14.7,4.9
속초시,2017,82.4,3.2,48.7,46.8,25.2,69.7,270.3,424.9,50.5,135.4,41.2,9.9
삼척시,2017,27,9.5,33,59,19,51,206.5,306.5,51,78.5,21,4
홍천군,2017,10.5,7.8,18.8,48.6,22.8,41.3,578.4,326.1,50.4,40,27.3,20.2
횡성군,2017,16.2,17.5,22.7,38.1,30.1,73.7,505.6,273.6,16,15.9,35.2,19
영월군,2017,14.7,28.9,24.1,71.4,21.5,55,402.1,272.8,32.8,22,27.9,22.9
평창군,2017,22.3,7.2,17.8,61.1,31.6,73,355.4,293.3,69.3,53.3,32.4,8.6
정선군,2017,15.8,25.5,23.6,74,30.5,72.9,385.8,248,27.7,28,27.6,13.1
철원군,2017,14.5,9.8,21.5,63.6,36,74.2,575.2,354.9,26.6,10.8,33.5,12.8
화천군,2017,14.5,9.8,21.5,63.6,36,74.2,575.2,354.9,26.6,10.8,33.5,12.8
양구군,2017,3,9.5,16.5,60,25,425,523,416.5,34.5,30.5,22,10.5
인제군,2017,11.4,11,25.4,59.5,33.1,105.5,524,299.6,51,40.6,28.2,20
고성군,2017,82.4,3.2,48.7,46.8,25.2,69.7,270.3,424.9,50.5,135.4,41.2,9.9
양양군,2017,82.4,3.2,48.7,46.8,25.2,69.7,270.3,424.9,50.5,135.4,41.2,9.9
춘천시,2018,5.9,36.5,32.8,139.5,201.9,104.1,213.6,389.5,69.9,127.5,63.5,16.8
원주시,2018,4.4,27.4,53.6,112.6,211.3,131.8,122.5,258.2,147.6,89.5,45,25.3
강릉시,2018,2.5,52,94,151.4,162.9,38.6,195.5,419.1,161.2,248,51.3,22.9
동해시,2018,4.4,53.4,95.4,131.8,63.6,36.6,286,219.8,205.6,273.2,44.5,22.2
태백시,2018,7.7,30.2,100.6,128.9,138.1,58.1,251.8,270,180.8,239.1,60.8,23.2
속초시,2018,3.9,54.4,55,141.7,123.6,46.5,185.4,625,66.1,257.6,207.4,10.4
삼척시,2018,5,43,87.5,134.5,69,57.5,375.5,174.5,235,332.5,47,23
홍천군,2018,3.7,24.6,42.8,143.8,268.6,101.4,204.5,300.6,77,110,55.5,16.1
횡성군,2018,4.3,43.2,72.9,128.7,203,83.5,228,542.6,195.4,158.4,50.4,21
영월군,2018,11.3,22.4,56.5,116.5,135.9,84,238.1,316.8,165,119.1,58.3,36.9
평창군,2018,4.3,43.2,72.9,128.7,203,83.5,228,542.6,195.4,158.4,50.4,21
정선군,2018,8,26.5,67.5,141,165.6,98.2,269.2,261.8,163.6,123.6,66,29.9
철원군,2018,7.9,14.4,33.6,139.4,263.1,122.3,174.2,527,55.4,74.8,60.2,8.3
화천군,2018,7.9,14.4,33.6,139.4,263.1,122.3,174.2,527,55.4,74.8,60.2,8.3
양구군,2018,1,27.5,16.5,112,170,78,222.5,307,76.5,104.5,73,10.5
인제군,2018,6.2,14.7,31,127.2,180,71.3,278.5,266.5,66.6,107.7,45.6,19
고성군,2018,3.9,54.4,55,141.7,123.6,46.5,185.4,625,66.1,257.6,207.4,10.4
양양군,2018,3.9,54.4,55,141.7,123.6,46.5,185.4,625,66.1,257.6,207.4,10.4
춘천시,2019,1.3,29,38.7,49.4,27.1,76.4,238.6,192.3,142.6,50.3,63.1,14.4
원주시,2019,0.7,25.4,42.8,45.7,10.4,67.9,137.1,142.4,171.1,40.3,74,14.1
강릉시,2019,16.6,17.7,49.6,85.5,4.5,132.2,220.8,264.5,233.3,536,104.7,5.1
동해시,2019,14.3,15.4,51.5,102.6,3.3,125.4,191.4,149.9,255.6,512.5,102.1,8.8
태백시,2019,4.1,15.1,41,61,24.2,132.6,215.1,197.5,256.9,152.8,67,2.5
속초시,2019,4.1,15.1,41,61,24.2,132.6,215.1,197.5,256.9,152.8,67,2.5
삼척시,2019,9.2,15.3,46.3,81.8,13.8,129,203.3,173.7,256.3,332.7,84.6,5.7
홍천군,2019,0,20,38.5,58.1,15,65.6,198.6,215.1,136.7,57,56.9,9.9
횡성군,2019,0.7,25.4,42.8,45.7,10.4,67.9,137.1,142.4,171.1,40.3,74,14.1
영월군,2019,0.7,34.3,42.5,56.7,20.9,126.9,128.7,118.4,127.5,98.9,56.7,18.2
평창군,2019,0.5,16.7,48.5,59.9,5.6,168.5,183.8,205.8,251.5,176.9,78.4,2.4
정선군,2019,0.8,30,57,59,18.5,88.2,128.5,90.2,190.6,71,57.5,7.6
철원군,2019,0,20.6,23.3,28,26.4,57.1,305.3,156.9,199.1,30.8,53,20
화천군,2019,0,20.6,23.3,28,26.4,57.1,305.3,156.9,199.1,30.8,53,20
양구군,2019,0,24.3,29.3,36,19.5,77.1,221.9,152,187.4,38.5,50.1,14.1
인제군,2019,0,28,35.2,43.9,12.5,97,138.4,147.1,175.7,46.2,47.1,8.2
고성군,2019,4.1,15.1,41,61,24.2,132.6,215.1,197.5,256.9,152.8,67,2.5
양양군,2019,4.1,15.1,41,61,24.2,132.6,215.1,197.5,256.9,152.8,67,2.5
