"stndd_y,C,80","ctprv_n,C,80","sgng_nm,C,80","emndn_n,C,80","emndn_c,C,80","addng_c,C,80","tt_frm_,N,24,15","tt_rs__,N,24,15","ntkn___,N,24,15","imbr___,N,24,15","fxng___,N,24,15","mvmn___,N,24,15"
2020,├µ├╗│▓ÁÁ,├╗¥þ▒║,╚¡╝║©Ú,3435038,4479038000,12.000000000000000,877.000000000000000,0.000000000000000,877.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,├╗¥þ▒║,║±║└©Ú,3435039,4479039000,9.000000000000000,708.000000000000000,55.000000000000000,708.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,╚½╝║▒║,╚½╝║└¥,3436011,4480025000,13.000000000000000,1198.000000000000000,0.000000000000000,1198.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,╚½╝║▒║,▒ñ├Á└¥,3436012,4480025300,14.000000000000000,1297.000000000000000,0.000000000000000,1297.000000000000000,0.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,┐°┴Í¢├,┐ý╗ÛÁ┐,3202061,4213060000,3.000000000000000,550.000000000000000,0.000000000000000,550.000000000000000,0.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,┐°┴Í¢├,║└╗ÛÁ┐,3202064,4213063500,2.000000000000000,203.000000000000000,0.000000000000000,203.000000000000000,0.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,┐°┴Í¢├,ÃÓ▒©Á┐,3202066,4213065000,5.000000000000000,595.000000000000000,0.000000000000000,595.000000000000000,0.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,┐°┴Í¢├,╣½¢ÃÁ┐,3202067,4213066000,1.000000000000000,350.000000000000000,0.000000000000000,350.000000000000000,0.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,┐°┴Í¢├,╣¦░¯░³╝│Á┐,3202068,4213067500,6.000000000000000,613.000000000000000,613.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,░¡©¬¢├,┴Í╣«┴°└¥,3203011,4215025000,13.000000000000000,506.000000000000000,0.000000000000000,506.000000000000000,506.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,░¡©¬¢├,╝║╗Û©Ú,3203031,4215031000,32.000000000000000,1886.000000000000000,0.000000000000000,1886.000000000000000,1886.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,░¡©¬¢├,┐€╗Û©Ú,3203032,4215032000,12.000000000000000,742.000000000000000,0.000000000000000,742.000000000000000,742.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,░¡©¬¢├,▒©┴ñ©Ú,3203033,4215033000,17.000000000000000,983.000000000000000,0.000000000000000,983.000000000000000,983.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,░¡©¬¢├,░¡Á┐©Ú,3203034,4215034000,16.000000000000000,1025.000000000000000,0.000000000000000,1025.000000000000000,1025.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,░¡©¬¢├,┐┴░Þ©Ú,3203035,4215035000,23.000000000000000,2395.000000000000000,0.000000000000000,2395.000000000000000,2395.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,░¡©¬¢├,╗þ├Á©Ú,3203036,4215036000,14.000000000000000,982.000000000000000,0.000000000000000,982.000000000000000,982.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,░¡©¬¢├,┐¼░¯©Ú,3203037,4215037000,13.000000000000000,614.000000000000000,0.000000000000000,614.000000000000000,614.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,░¡©¬¢├,╚½┴ªÁ┐,3203051,4215051000,8.000000000000000,264.000000000000000,0.000000000000000,264.000000000000000,264.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,░¡©¬¢├,┴▀¥ËÁ┐,3203052,4215052000,1.000000000000000,30.000000000000000,0.000000000000000,30.000000000000000,30.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,╚½╝║▒║,╚½║¤└¥,3436013,4480025600,10.000000000000000,608.000000000000000,0.000000000000000,608.000000000000000,0.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,░¡©¬¢├,░µã¸Á┐,3203067,4215066500,9.000000000000000,385.000000000000000,0.000000000000000,385.000000000000000,385.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,Á┐ÃÏ¢├,├Á░¯Á┐,3204051,4217051000,9.000000000000000,1160.000000000000000,0.000000000000000,1160.000000000000000,810.000000000000000,350.000000000000000
2020,░¡┐°ÁÁ,Á┐ÃÏ¢├,║¤╗´Á┐,3204053,4217053000,8.000000000000000,749.000000000000000,1.000000000000000,748.000000000000000,748.000000000000000,0.000000000000000
2020,░¡┐°ÁÁ,┼┬╣Ú¢├,╚▓┴÷Á┐,3205051,4219051500,12.000000000000000,1032.000000000000000,29.000000000000000,1003.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,╚½╝║▒║,▒¦©Â©Ú,3436032,4480032000,18.000000000000000,1613.000000000000000,0.000000000000000,1613.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,╚½╝║▒║,╚½Á┐©Ú,3436033,4480033000,15.000000000000000,1762.000000000000000,0.000000000000000,1762.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,╚½╝║▒║,└Õ░¯©Ú,3436034,4480034000,12.000000000000000,1198.000000000000000,0.000000000000000,1198.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,╚½╝║▒║,└║Ã¤©Ú,3436035,4480035000,6.000000000000000,412.000000000000000,0.000000000000000,412.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,╚½╝║▒║,░ß╝║©Ú,3436036,4480036000,13.000000000000000,867.000000000000000,0.000000000000000,867.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,╚½╝║▒║,╝¡║╬©Ú,3436037,4480037000,11.000000000000000,430.000000000000000,0.000000000000000,430.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,╚½╝║▒║,░Ñ╗Û©Ú,3436038,4480038000,10.000000000000000,561.000000000000000,0.000000000000000,561.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,╚½╝║▒║,▒©ÃÎ©Ú,3436039,4480039000,10.000000000000000,1344.000000000000000,140.000000000000000,1204.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,┐╣╗Û▒║,┐╣╗Û└¥,3437011,4481025000,9.000000000000000,1030.000000000000000,5.000000000000000,1025.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,┐╣╗Û▒║,╗­▒│└¥,3437012,4481025300,8.000000000000000,831.000000000000000,0.000000000000000,831.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,┐╣╗Û▒║,┤Ù╝·©Ú,3437031,4481031000,15.000000000000000,1506.000000000000000,2.000000000000000,1504.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,┐╣╗Û▒║,¢┼¥þ©Ú,3437032,4481032000,10.000000000000000,1894.000000000000000,0.000000000000000,1894.000000000000000,0.000000000000000,0.000000000000000
2020,├µ├╗│▓ÁÁ,┐╣╗Û▒║,▒ñ¢├©Ú,3437033,4481033000,13.000000000000000,1212.000000000000000,0.000000000000000,1212.000000000000000,0.000000000000000,0.000000000000000
